question,label
강아지 눈 관련...,S-ANIMAL O O
고양이 눈 관련...,S-ANIMAL O O
눈 관련,S-ANIMAL O
고양이 눈,S-ANIMAL O
강아지 눈,S-ANIMAL O
개 눈,S-ANIMAL O
고양이 안구,S-ANIMAL O
강아지 안구,S-ANIMAL O
개 안구,S-ANIMAL O
고양이 눈 이상,S-ANIMAL O O
강아지 눈 이상,S-ANIMAL O O
개 눈 이상,S-ANIMAL O O
눈 이상,O O
눈 관련...,O O
고양이 눈이 이상해요,S-ANIMAL O O
강아지 눈이 이상해요,S-ANIMAL O O
개 눈이 이상해요,S-ANIMAL O O
눈이 이상해요,S-ANIMAL O
고양이 눈이 이상하고 무기력해요,S-ANIMAL O O S-SYMPTOM1
강아지 눈이 이상하고 무기력해요,S-ANIMAL O O S-SYMPTOM1
개 눈이 이상하고 무기력해요,S-ANIMAL O O S-SYMPTOM1
고양이가 무기력하고 눈이 이상해요,S-ANIMAL S-SYMPTOM1 O O
강아지가 무기력하고 눈이 이상해요,S-ANIMAL S-SYMPTOM1 O O
개가 무기력하고 눈이 이상해요,S-ANIMAL S-SYMPTOM1 O O
강아지 눈이 이상하고 창백해요,S-ANIMAL O O S-SYMPTOM1
고양이 눈이 이상하고 무기력,S-ANIMAL O O S-SYMPTOM1
강아지 눈이 이상하고 무기력,S-ANIMAL O O S-SYMPTOM1
개 눈이 이상하고 무기력,S-ANIMAL O O S-SYMPTOM1
눈이 이상하고 무기력해요,O O S-SYMPTOM1
눈이 이상하고 무기력,O O S-SYMPTOM1
눈이 이상해요,O O
저희집 개 눈이 이상해요,O S-ANIMAL O O
저희집 개 눈이 이상하고 무기력해요,O S-ANIMAL O O S-SYMPTOM1
저희집 개 눈이 이상하고 창백해요,O S-ANIMAL O O S-SYMPTOM1
강아지 눈 관련 질문드립니다,S-ANIMAL O O O
고양이 눈 관련 질문드립니다,S-ANIMAL O O O
개 눈 관련 질문드립니다,S-ANIMAL O O O
강아지 눈 관련 질문드려요,S-ANIMAL O O O
고양이 눈 관련 질문드려요,S-ANIMAL O O O
개 눈 관련 질문드려요,S-ANIMAL O O O
고양이 눈과 관련된 질병 알려주세요,S-ANIMAL O O O O
강아지 눈과 관련된 질병 알려주세요,S-ANIMAL O O O O
강아지 눈관련 질병 좀 알려주세요,S-ANIMAL O O O O
고양이 눈관련 질병 좀 알려주세요,S-ANIMAL O O O O
고양이 눈 관련 질병 알려주겠니?,S-ANIMAL O O O O
강아지 눈 관련 질병 알려주겠니?,S-ANIMAL O O O O
눈 관련 질병 알려주겠니?,O O O O
눈 관련 질문드려요,O O O
저희집 개 눈이 이상해요,S-ANIMAL O O O
강아지 눈이 왜 이럴까요?,S-ANIMAL O O O
고양이 눈이 왜 이럴까요?,S-ANIMAL O O O
눈에 눈곱이 많이 나고 눈을 못떠요,O S-SYMPTOM1 O O O O
강아지 눈 부음,S-ANIMAL O O
고양이 눈 부음,S-ANIMAL O O
강아지 눈 붓기,S-ANIMAL O O
고양이 눈 붓기,S-ANIMAL O O
개 눈 부음,S-ANIMAL O O
개 눈 붓기,S-ANIMAL O O
눈이 빨갛고 부어있어요,S-ANIMAL O O
눈이 충혈되고 부어있어요,S-ANIMAL S-SYMPTOM1 O
눈이 실명됐어요,S-ANIMAL O
강아지 눈에 뭐가 들어간것같아요,S-ANIMAL O O O
고양이 눈에 뭐가 들어간것같아요,S-ANIMAL O O O
강아지 눈에 점,S-ANIMAL O O
고양이 눈에 점,S-ANIMAL O O
눈에 점,O O
강아지 눈에 이상한게 났어요,S-ANIMAL O O O
고양이 눈에 이상한게 났어요,S-ANIMAL O O O
강아지 눈에 이상한게 났어,S-ANIMAL O O O
고양이 눈에 이상한게 났어,S-ANIMAL O O O
강아지 눈에 이상한게 낫어,S-ANIMAL O O O
고양이 눈에 이상한게 낫어,S-ANIMAL O O O
강아지 눈 좀 봐주세요,S-ANIMAL O O O
고양이 눈 좀 봐주세요,S-ANIMAL O O O
눈 좀 봐주세요,O O O
강아지 눈에 노란색 눈곱,S-ANIMAL O O S-SYMPTOM1
고양이 눈에 노란색 눈곱,S-ANIMAL O O S-SYMPTOM1
눈에 노란색 눈곱,O O S-SYMPTOM1
강아지 눈에 노란색 눈곱이 꼈어,S-ANIMAL O O S-SYMPTOM1 O
고양이 눈에 노란색 눈곱이 꼈어,S-ANIMAL O O S-SYMPTOM1 O
눈에 노란색 눈곱이 꼈어,O O S-SYMPTOM1 O
강아지 눈,S-ANIMAL O
고양이 눈,S-ANIMAL O
강아지 눈 다래끼 충혈,S-ANIMAL O O S-SYMPTOM1
고양이 눈 다래끼 충혈,S-ANIMAL O O S-SYMPTOM1
눈 다래끼 충혈,O O S-SYMPTOM1
강아지 눈에 다래끼가 나고 충혈됐어,S-ANIMAL O O O S-SYMPTOM1
고양이 눈에 다래끼가 나고 충혈됐어,S-ANIMAL O O O S-SYMPTOM1
눈에 다래끼가 나고 충혈됐어,O O O S-SYMPTOM1
강아지 눈 흰자가 갈색인데 무슨 문제있는건가요?,S-ANIMAL O O O O O
고양이 눈 흰자가 갈색인데 무슨 문제있는건가요?,S-ANIMAL O O O O O
눈 흰자가 갈색인데 무슨 문제있는건가요?,O O O O O
강아지 눈이 튀어나왔어요,S-ANIMAL O O
고양이 눈이 튀어나왔어요,S-ANIMAL O O
눈이 튀어나왔어요,O O
강아지 눈 건강,S-ANIMAL O O
고양이 눈 건강,S-ANIMAL O O
눈 건강,O O
강아지 눈밑에 피,S-ANIMAL O O
고양이 눈밑에 피,S-ANIMAL O O
눈밑에 피,O O
강아지 눈 주위 빨감,S-ANIMAL O O O
고양이 눈 주위 빨감,S-ANIMAL O O O
눈 주위 빨감,O O O
강아지 눈 건강,S-ANIMAL O O
고양이 눈 건강,S-ANIMAL O O
눈 건강,O O
강아지 눈에 이상한게 있는데,S-ANIMAL O O O
고양이 눈에 이상한게 있는데,S-ANIMAL O O O
눈에 이상한게 있는데,O O O
고양이 눈에 이상한게 있어요,S-ANIMAL O O O
강아지 눈에 이상한게 있어요,S-ANIMAL O O O
고양이 눈에 이상한거,S-ANIMAL O O
강아지 눈에 이상한거,S-ANIMAL O O
눈에 이상한거,O O
고양이 눈에 이상한게 있어,S-ANIMAL O O O
강아지 눈에 이상한게 있어,S-ANIMAL O O O
눈에 이상한게 있어,O O O
강아지 눈 붓기,S-ANIMAL O S-SYMPTOM1
고양이 눈 붓기,S-ANIMAL O S-SYMPTOM1
붓기,S-SYMPTOM1
새끼 강아지 눈이 이상해요ㅠㅠ,O S-ANIMAL O O
새끼 고양이 눈이 이상해요ㅠㅠ,O S-ANIMAL O O
강아지 눈이 이상해요ㅠㅠ,S-ANIMAL O O
고양이 눈이 이상해요ㅠㅠ,S-ANIMAL O O
눈이 이상해요ㅠㅠ,O O
강아지 눈 다래끼,S-ANIMAL O S-SYMPTOM1
고양이 눈 다래끼,S-ANIMAL O S-SYMPTOM1
눈 다래끼,O S-SYMPTOM1
강아지 눈이 문제있나요?,S-ANIMAL O O
고양이 눈이 문제있나요?,S-ANIMAL O O
눈이 문제있나요?,O O
눈에 문제있나요?,O O
강아지 눈 봐주세요,S-ANIMAL O O
고양이 눈 봐주세요,S-ANIMAL O O
강아지가 눈을 못 떠요,S-ANIMAL O O O
고양이가 눈을 못 떠요,S-ANIMAL O O O
강아지 눈 이상,S-ANIMAL O O
고양이 눈 이상,S-ANIMAL O O
눈 이상,O O
강아지 눈 주변이 빨개요ㅠㅠ,S-ANIMAL O O O
고양이 눈 주변이 빨개요ㅠ,S-ANIMAL O O O
강아지 눈 주변이 빨간데?,S-ANIMAL O O O
눈 주변이 빨간데?,O O O
강아지 눈 혼탁,S-ANIMAL O S-SYMPTOM1
고양이 눈 혼탁,S-ANIMAL O S-SYMPTOM1
눈 혼탁,O S-SYMPTOM1
강아지 눈 흰자에 이상한거,S-ANIMAL O O O
고양이 눈 흰자에 이상한거,S-ANIMAL O O O
눈 흰자에 이상한거,O O O
강아지 눈에 검정 이물질,S-ANIMAL O O S-SYMPTOM1
고양이 눈에 검정 이물질,S-ANIMAL O O S-SYMPTOM1
눈에 검정 이물질,O O S-SYMPTOM1
강아지 눈에 물집,S-ANIMAL O S-SYMPTOM1
고양이 눈에 물집,S-ANIMAL O S-SYMPTOM1
눈에 물집,O S-SYMPTOM1
강아지 눈병 증상,S-ANIMAL O O
고양이 눈병 증상,S-ANIMAL O O
강아지 눈에 이물질,S-ANIMAL O O
고양이 눈에 이물질,S-ANIMAL O O
눈에 이물질,O O
강아지가 눈을 비벼요,S-ANIMAL O O
고양이가 눈을 비벼요,S-ANIMAL O O
개가 눈이 건조해요,S-ANIMAL O S-SYMPTOM1
저희집 개가 눈이 건조해요,S-ANIMAL O O S-SYMPTOM1
눈을 비벼요,O O
고양이가 눈을 비비는데?,S-ANIMAL O O
강아지가 눈을 비비는데?,S-ANIMAL O O
개가 눈을 비비는데?,S-ANIMAL O O
눈을 비비는데?,O O
강아지 눈이 건조해요,S-ANIMAL O S-SYMPTOM1
고양이 눈이 건조해요,S-ANIMAL O S-SYMPTOM1
개 눈이 건조해요,S-ANIMAL O S-SYMPTOM1
눈이 건조해요,O S-SYMPTOM1
강아지 눈 건조,S-ANIMAL O S-SYMPTOM1
고양이 눈 건조,S-ANIMAL O S-SYMPTOM1
개 눈 건조,S-ANIMAL O S-SYMPTOM1
강아지 눈이 건조함,S-ANIMAL O S-SYMPTOM1
고양이 눈이 건조함,S-ANIMAL O S-SYMPTOM1
개 눈이 건조함,S-ANIMAL O S-SYMPTOM1
눈이 건조해요,O S-SYMPTOM1
눈 건조,O S-SYMPTOM1
강아지 눈 실명,S-ANIMAL O S-SYMPTOM1
고양이 눈 실명,S-ANIMAL O S-SYMPTOM1
개 눈 실명,S-ANIMAL O S-SYMPTOM1
눈 실명,O S-SYMPTOM1
강아지 눈 실명 궁금해,S-ANIMAL O S-SYMPTOM1 O
고양이 눈 실명 궁금해,S-ANIMAL O S-SYMPTOM1 O
개 눈 실명 궁금해,S-ANIMAL O S-SYMPTOM1 O
눈 실명 궁금해,O S-SYMPTOM1 O
강아지 눈 돌출,S-ANIMAL O S-SYMPTOM1
고양이 눈 돌출,S-ANIMAL O S-SYMPTOM1
개 눈 돌출,S-ANIMAL O S-SYMPTOM1
눈 돌출,O S-SYMPTOM1
강아지 눈 돌출 왜이래?,S-ANIMAL O S-SYMPTOM1 O
고양이 눈 돌출 왜이래,S-ANIMAL O S-SYMPTOM1 O
개 눈 돌출 왜이래,S-ANIMAL O S-SYMPTOM1 O
눈 돌출 왜이래?,O S-SYMPTOM1 O
강아지 눈 진탕,S-ANIMAL O S-SYMPTOM1
고양이 눈 진탕,S-ANIMAL O S-SYMPTOM1
개 눈 진탕,S-ANIMAL O S-SYMPTOM1
눈 진탕,O S-SYMPTOM1
강아지 눈 종괴,S-ANIMAL O S-SYMPTOM1
고양이 눈 종괴,S-ANIMAL O S-SYMPTOM1
개 눈 종괴,S-ANIMAL O S-SYMPTOM1
눈 종괴,O S-SYMPTOM1
강아지 눈 종창,S-ANIMAL O S-SYMPTOM1
고양이 눈 종창,S-ANIMAL O S-SYMPTOM1
개 눈 종창,S-ANIMAL O S-SYMPTOM1
눈 종창,O S-SYMPTOM1
강아지 눈 기생충,S-ANIMAL O S-SYMPTOM1
고양이 눈 기생충,S-ANIMAL O S-SYMPTOM1
개 눈 기생충,S-ANIMAL O S-SYMPTOM1
눈 기생충,O S-SYMPTOM1
강아지 속눈썹 이상,S-ANIMAL S-SYMPTOM1 O
고양이 속눈썹 이상,S-ANIMAL S-SYMPTOM1 O
개 속눈썹 이상,S-ANIMAL S-SYMPTOM1 O
속눈썹 이상,O S-SYMPTOM1
강아지 동공 확대,S-ANIMAL O S-SYMPTOM1
고양이 동공 확대,S-ANIMAL O S-SYMPTOM1
개 동공 확대,S-ANIMAL O S-SYMPTOM1
동공 확대,O S-SYMPTOM1
강아지 눈꺼풀 처짐,S-ANIMAL O S-SYMPTOM1
고양이 눈꺼풀 처짐,S-ANIMAL O S-SYMPTOM1
개 눈꺼풀 처짐,S-ANIMAL O S-SYMPTOM1
눈꺼풀 처짐,O S-SYMPTOM1
강아지 눈떨림,S-ANIMAL S-SYMPTOM1
고양이 눈떨림,S-ANIMAL S-SYMPTOM1
개 눈떨림,S-ANIMAL S-SYMPTOM1
눈떨림,S-SYMPTOM1
강아지 동공 이상,S-ANIMAL S-SYMPTOM1 O
고양이 동공 이상,S-ANIMAL S-SYMPTOM1 O
강아지 홍채 이상,S-ANIMAL S-SYMPTOM1 O
고양이 동공 이상,S-ANIMAL S-SYMPTOM1 O
저희집 고양이 눈이 이상해요,S-ANIMAL O O O
저희집 강아지 눈이 이상해요,O S-ANIMAL O O
저희집 개 눈이 이상해요,O S-ANIMAL O O
강아지 눈 충혈,S-ANIMAL O S-SYMPTOM1
고양이 눈 충혈,S-ANIMAL O S-SYMPTOM1
눈 충혈,O S-SYMPTOM1
강아지 눈이 충혈됐어,S-ANIMAL O S-SYMPTOM1
고양이 눈이 충혈됐어,S-ANIMAL O S-SYMPTOM1
눈이 충혈됐어,O S-SYMPTOM1
강아지 공막충혈,S-ANIMAL S-SYMPTOM1
고양이 공막충혈,S-ANIMAL S-SYMPTOM1
공막충혈,S-SYMPTOM1
강아지 공막충혈 질문,S-ANIMAL S-SYMPTOM1 O
고양이 공막충혈 질문,S-ANIMAL S-SYMPTOM1 O
공막충혈 질문,S-SYMPTOM1 O
고양이 안구건조,S-ANIMAL S-SYMPTOM1
강아지 안구건조,S-ANIMAL S-SYMPTOM1
안구건조,S-SYMPTOM1
고양이 안구건조 질문,S-ANIMAL S-SYMPTOM1 O
강아지 안구건조 질문,S-ANIMAL S-SYMPTOM1 O
안구건조 질문,S-SYMPTOM1 O
강아지 동공축소,S-ANIMAL S-SYMPTOM1
고양이 동공축소,S-ANIMAL S-SYMPTOM1
동공축소,S-SYMPTOM1
강아지 동공축소 질문,S-ANIMAL S-SYMPTOM1 O
고양이 동공축소 질문,S-ANIMAL S-SYMPTOM1 O
동공축소 질문,S-SYMPTOM1 O
강아지 동공확대,S-ANIMAL S-SYMPTOM1
고양이 동공확대,S-ANIMAL S-SYMPTOM1
동공확대,S-SYMPTOM1
강아지 동공확대 관련 질문,S-ANIMAL S-SYMPTOM1 O O
고양이 동공확대 관련 질문,S-ANIMAL S-SYMPTOM1 O O
동공확대 관련 질문,S-SYMPTOM1 O O
강아지 홍채 이상,S-ANIMAL S-SYMPTOM1 O
고양이 홍채 이상,S-ANIMAL S-SYMPTOM1 O
홍채 이상,S-SYMPTOM1 O
강아지 홍채 이상 질문드립니다,S-ANIMAL S-SYMPTOM1 O O
고양이 홍채 이상 질문드립니다,S-ANIMAL S-SYMPTOM1 O O
홍채 이상 질문드립니다,S-SYMPTOM1 O O
강아지 각막 이상,S-ANIMAL S-SYMPTOM1 O
고양이 각막 이상,S-ANIMAL S-SYMPTOM1 O
각막 이상,S-SYMPTOM1 O
강아지 각막 이상 관련 질병 알려주세요,S-ANIMAL S-SYMPTOM1 O O O O
고양이 각막 이상 관련 질병 알려주세요,S-ANIMAL S-SYMPTOM1 O O O O
각막 이상 관련 질병 알려주세요,S-SYMPTOM1 O O O O
강아지 각막 손상,S-ANIMAL S-SYMPTOM1 O
고양이 각막 손상,S-ANIMAL S-SYMPTOM1 O
각막 손상,S-SYMPTOM1 O
강아지 각막 손상 증상,S-ANIMAL S-SYMPTOM1 O O
고양이 각막 손상 증상,S-ANIMAL S-SYMPTOM1 O O
각막 손상 증상,S-SYMPTOM1 O O
강아지 각막 손상 궁금합니다,S-ANIMAL S-SYMPTOM1 O O
고양이 각막 손상 궁금합니다,S-ANIMAL S-SYMPTOM1 O O
각막 손상 궁금합니다,S-SYMPTOM1 O O
강아지 안구함몰,S-ANIMAL S-SYMPTOM1
고양이 안구함몰,S-ANIMAL S-SYMPTOM1
안구함몰,S-SYMPTOM1
강아지 안구함몰 궁금해 알려줘,S-ANIMAL S-SYMPTOM1 O O
고양이 안구함몰 궁금해 알려줘,S-ANIMAL S-SYMPTOM1 O O
안구함몰 궁금해 알려줘,S-SYMPTOM1 O O
강아지 안구함몰 증상,S-ANIMAL S-SYMPTOM1 O
고양이 안구함몰 증상,S-ANIMAL S-SYMPTOM1 O
안구함몰 증상,S-SYMPTOM1 O
강아지 동공이상,S-ANIMAL S-SYMPTOM1
고양이 동공이상,S-ANIMAL S-SYMPTOM1
동공이상,S-SYMPTOM1
강아지 동공이상 증상,S-ANIMAL S-SYMPTOM1 O
고양이 동공이상 증상,S-ANIMAL S-SYMPTOM1 O
동공이상 증상,S-SYMPTOM1 O
강아지 동공이상 알려줘,S-ANIMAL S-SYMPTOM1 O
고양이 동공이상 알려줘,S-ANIMAL S-SYMPTOM1 O
동공이상 알려줘,S-SYMPTOM1 O
강아지 망막출혈,S-ANIMAL S-SYMPTOM1
고양이 망막충혈,S-ANIMAL S-SYMPTOM1
망막충혈,S-SYMPTOM1
강아지 망막출혈 관련 질병,S-ANIMAL S-SYMPTOM1 O O
고양이 망막충혈 관련 질병,S-ANIMAL S-SYMPTOM1 O O
망막충혈 관련 질병,S-SYMPTOM1 O O
고양이 백내장,S-ANIMAL S-SYMPTOM1
강아지 백내장,S-ANIMAL S-SYMPTOM1
백내장,S-SYMPTOM1
고양이 백내장 알려줘요,S-ANIMAL S-SYMPTOM1 O
강아지 백내장 알려줘요,S-ANIMAL S-SYMPTOM1 O
백내장 알려줘요,S-SYMPTOM1 O
고양이 백내장 궁금하지,S-ANIMAL S-SYMPTOM1 O
강아지 백내장 궁금하지,S-ANIMAL S-SYMPTOM1 O
백내장 궁금하지,S-SYMPTOM1 O
강아지 수정체 이상,S-ANIMAL S-SYMPTOM1 O
고양이 수정체 이상,S-ANIMAL S-SYMPTOM1 O
수정체 이상,S-SYMPTOM1 O
강아지 수정체 이상 알려주삼,S-ANIMAL S-SYMPTOM1 O O
고양이 수정체 이상 알려주삼,S-ANIMAL S-SYMPTOM1 O O
수정체 이상 알려주삼,S-SYMPTOM1 O O
강아지 수정체 혼탁,S-ANIMAL S-SYMPTOM1 O
고양이 수정체 혼탁,S-ANIMAL S-SYMPTOM1 O
수정체 혼탁,S-SYMPTOM1 O
강아지 수정체 혼탁 관련된 질병,S-ANIMAL S-SYMPTOM1 O O O
고양이 수정체 혼탁 관련된 질병,S-ANIMAL S-SYMPTOM1 O O O
수정체 혼탁 관련된 질병,S-SYMPTOM1 O O O
강아지 동공확장,S-ANIMAL S-SYMPTOM1
고양이 동공확장,S-ANIMAL S-SYMPTOM1
동공확장,S-SYMPTOM1
동공확장 증상 있어,S-SYMPTOM1 O O
강아지 동공확장 무슨 병이야?,S-ANIMAL S-SYMPTOM1 O O
고양이 동공확장 무슨 병이야?,S-ANIMAL S-SYMPTOM1 O O
동공확장 무슨 병이야?,S-SYMPTOM1 O O
고양이 안검하수,S-ANIMAL S-SYMPTOM1
강아지 안검하수,S-ANIMAL S-SYMPTOM1
안검하수,S-SYMPTOM1
고양이 안검하수 알려주,S-ANIMAL S-SYMPTOM1 O
강아지 안검하수 알려주,S-ANIMAL S-SYMPTOM1 O
안검하수 알려주,S-SYMPTOM1 O
고양이 안검하수 알려주삼,S-ANIMAL S-SYMPTOM1 O
강아지 안검하수 알려주삼,S-ANIMAL S-SYMPTOM1 O
안검하수 알려주삼,S-SYMPTOM1 O
고양이 안검하수 궁금해,S-ANIMAL S-SYMPTOM1 O
강아지 안검하수 궁금해,S-ANIMAL S-SYMPTOM1 O
안검하수 궁금해,S-SYMPTOM1 O
고양이 안구돌출,S-ANIMAL S-SYMPTOM1
강아지 안구돌출,S-ANIMAL S-SYMPTOM1
안구돌출,S-SYMPTOM1
고양이 안구돌출 물어볼게,S-ANIMAL S-SYMPTOM1 O
강아지 안구돌출 물어볼게,S-ANIMAL S-SYMPTOM1 O
고양이 안구돌출 알려주라고,S-ANIMAL S-SYMPTOM1 O
강아지 안구돌출 알려주라고,S-ANIMAL S-SYMPTOM1 O
안구돌출 알려주라고,S-SYMPTOM1 O
안구돌출 물어볼게,S-SYMPTOM1 O
고양이 안구진탕,S-ANIMAL S-SYMPTOM1
강아지 안구진탕,S-ANIMAL S-SYMPTOM1
안구진탕,S-SYMPTOM1
고양이 안구진탕 궁금해,S-ANIMAL S-SYMPTOM1 O
강아지 안구진탕 궁금해,S-ANIMAL S-SYMPTOM1 O
안구진탕 궁금해,S-SYMPTOM1 O
고양이 안구진탕이 궁금함,S-ANIMAL S-SYMPTOM1 O
강아지 안구진탕이 궁금함,S-ANIMAL S-SYMPTOM1 O
안구진탕 궁금해,S-SYMPTOM1 O
안구진탕 때문에..,S-SYMPTOM1 O
안구진탕 증상이 있어,S-SYMPTOM1 O O
고양이 망막 이상,S-ANIMAL S-SYMPTOM1 O
강아지 망막 이상,S-ANIMAL S-SYMPTOM1 O
망막 이상,S-SYMPTOM1 O
망막 이상 증상,S-SYMPTOM1 O O
고양이 망막 이상 물어본거야,S-ANIMAL S-SYMPTOM1 O O
강아지 망막 이상 물어본거야,S-ANIMAL S-SYMPTOM1 O O
망막 이상 물어본거야,S-SYMPTOM1 O O
강아지 결막 이상,S-ANIMAL S-SYMPTOM1 O
고양이 결막 이상,S-ANIMAL S-SYMPTOM1 O
결막 이상,S-SYMPTOM1 O
결막 이상 증상 있어,S-SYMPTOM1 O O O
강아지 결막이 이상해,S-ANIMAL S-SYMPTOM1 O
고양이 결막이 이상해,S-ANIMAL S-SYMPTOM1 O
결막이 이상해,S-SYMPTOM1 O
강아지 결막 이상 궁금해서,S-ANIMAL S-SYMPTOM1 O O
고양이 결막 이상 궁금해서,S-ANIMAL S-SYMPTOM1 O O
결막 이상 궁금해서,S-SYMPTOM1 O O
강아지 결막손상,S-ANIMAL S-SYMPTOM1
고양이 결막손상,S-ANIMAL S-SYMPTOM1
결막손상,S-SYMPTOM1
강아지 결막손상 있어,S-ANIMAL S-SYMPTOM1 O
고양이 결막손상 있어,S-ANIMAL S-SYMPTOM1 O
결막손상 있어,S-SYMPTOM1 O
강아지 눈 분비물,S-ANIMAL O S-SYMPTOM1
고양이 눈 분비물,S-ANIMAL O S-SYMPTOM1
눈 분비물,O S-SYMPTOM1
강아지 눈에서 분비물이 나와,S-ANIMAL O S-SYMPTOM1 O
고양이 눈에서 분비물이 나와,S-ANIMAL O S-SYMPTOM1 O
눈에서 분비물이 나와,O S-SYMPTOM1 O
강아지 안구 이물질,S-ANIMAL O S-SYMPTOM1
고양이 안구 이물질,S-ANIMAL O S-SYMPTOM1
안구 이물질,O S-SYMPTOM1
강아지 눈에 이물질이 있어,S-ANIMAL O S-SYMPTOM1 O
고양이 눈에 이물질이 있어,S-ANIMAL O S-SYMPTOM1 O
눈에 이물질이 있어,O S-SYMPTOM1 O
강아지 눈에 이물질이 있어 ㅠㅠ,S-ANIMAL O S-SYMPTOM1 O O
고양이 눈에 이물질이 있어ㅠ,S-ANIMAL O S-SYMPTOM1 O
눈에 이물질이 있어ㅜ,O S-SYMPTOM1 O
눈에서 이물질이 나와,O S-SYMPTOM1 O
눈에서 이물질이 나오는거,O S-SYMPTOM1 O